powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
OCGT,1309662.192,25700.0,6.94,25,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OCGT,1260744.778,25000.0,6.94,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OCGT,1211716.154,24200.0,6.94,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OCGT,730000.0,17000.0,2.0,25,MX,2040,CopiedFromTemplate_XY
OCGT,700000.0,17000.0,2.0,25,MX,2045,CopiedFromTemplate_XY
OCGT,680000.0,17000.0,2.0,25,MX,2050,CopiedFromTemplate_XY
OCHT,650000.0,39000.0,2.0,30,MX,2025,CopiedFromTemplate_XY
OCHT,640000.0,38000.0,2.0,30,MX,2030,CopiedFromTemplate_XY
OCHT,640000.0,35000.0,2.0,30,MX,2035,CopiedFromTemplate_XY
OCHT,640000.0,35000.0,2.0,30,MX,2040,CopiedFromTemplate_XY
OCHT,620000.0,34000.0,2.0,30,MX,2045,CopiedFromTemplate_XY
OCHT,610000.0,33000.0,2.0,30,MX,2050,CopiedFromTemplate_XY
OILT,2138031.543888621,38791.75904406929,5.213023459767594,25,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT,2137511.2645262,38791.75904406929,5.213023459767594,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT,2140595.8164766496,38791.75904406929,5.213023459767594,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT,800000.0,8000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
OILT,790000.0,7800.0,6.0,25,MX,2045,CopiedFromTemplate_XY
OILT,780000.0,7700.0,6.0,25,MX,2050,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2025,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2030,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2035,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2040,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2045,CopiedFromTemplate_XY
PEVCH,0.0,0.0,0.0,10,MX,2050,CopiedFromTemplate_XY
PHOT,1009173.074,7560.0,0.0,30,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
PHOT,999573.778,7560.0,0.0,30,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
PHOT,983980.2102,7560.0,0.0,30,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
PHOT,650000.0,10000.0,0.0,30,MX,2040,CopiedFromTemplate_XY
PHOT,550000.0,9000.0,0.0,30,MX,2045,CopiedFromTemplate_XY
PHOT,450000.0,8000.0,0.0,30,MX,2050,CopiedFromTemplate_XY
RTPV,1009173.074,7560.0,0.0,30,MX,2025,AlignedToPHOT_from_CAPEX_OPEX_VOM_NDC_ICM.xlsx
RTPV,999573.778,7560.0,0.0,30,MX,2030,AlignedToPHOT_from_CAPEX_OPEX_VOM_NDC_ICM.xlsx
RTPV,983980.2102,7560.0,0.0,30,MX,2035,AlignedToPHOT_from_CAPEX_OPEX_VOM_NDC_ICM.xlsx
RTPV,770000.0,9900.0,0.5,30,MX,2040,CopiedFromTemplate_XY
RTPV,710000.0,9000.0,0.5,30,MX,2045,CopiedFromTemplate_XY
RTPV,650000.0,8000.0,0.5,30,MX,2050,CopiedFromTemplate_XY
SubC,1150000.0,38000.0,0.0,30,MX,2025,CopiedFromTemplate_XY
SubC,1200000.0,38000.0,0.0,30,MX,2030,CopiedFromTemplate_XY
SubC,1200000.0,38000.0,0.0,30,MX,2035,CopiedFromTemplate_XY
SubC,1200000.0,38000.0,0.0,30,MX,2040,CopiedFromTemplate_XY
SubC,1190000.0,37000.0,0.0,30,MX,2045,CopiedFromTemplate_XY
SubC,1180000.0,37000.0,0.0,30,MX,2050,CopiedFromTemplate_XY
SupC,1500000.0,39000.0,0.1133,30,MX,2025,CopiedFromTemplate_XY
SupC,1500000.0,39000.0,0.1133,30,MX,2030,CopiedFromTemplate_XY
SupC,1500000.0,39000.0,0.1133,30,MX,2035,CopiedFromTemplate_XY
SupC,1500000.0,39000.0,0.1133,30,MX,2040,CopiedFromTemplate_XY
SupC,1500000.0,39000.0,0.1133,30,MX,2045,CopiedFromTemplate_XY
SupC,1400000.0,38000.0,0.1133,30,MX,2050,CopiedFromTemplate_XY
SWHT,1350000.0,16500.0,0.0,20,MX,2025,CopiedFromTemplate_XY
SWHT,1300000.0,16500.0,0.0,20,MX,2030,CopiedFromTemplate_XY
SWHT,1250000.0,16500.0,0.0,20,MX,2035,CopiedFromTemplate_XY
SWHT,1100000.0,16500.0,0.0,20,MX,2040,CopiedFromTemplate_XY
SWHT,1000000.0,16500.0,0.0,20,MX,2045,CopiedFromTemplate_XY
SWHT,970000.0,16500.0,0.0,20,MX,2050,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2025,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2030,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2035,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2045,CopiedFromTemplate_XY
WSTT,2480000.0,50000.0,6.0,25,MX,2050,CopiedFromTemplate_XY
WTOF,2747671.258,85191.1,0.0,30,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTOF,2562539.436,79195.0,0.0,30,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTOF,2764886.407,74772.5,0.0,30,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTOF,2150000.0,42000.0,4.0,30,MX,2040,CopiedFromTemplate_XY
WTOF,1900000.0,40500.0,3.0,30,MX,2045,CopiedFromTemplate_XY
WTOF,1700000.0,39000.0,3.0,30,MX,2050,CopiedFromTemplate_XY
WTON,1389266.853,43000.0,0.0,30,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTON,1450790.256,43000.0,0.0,30,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTON,1467885.549,43000.0,0.0,30,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
WTON,1280000.0,36000.0,3.0,30,MX,2040,CopiedFromTemplate_XY
WTON,1180000.0,30000.0,3.0,30,MX,2045,CopiedFromTemplate_XY
